Superficie,Tipo,Operación,Provincia,Precio Venta,Fecha Venta
190,Oficina,Venta,Tarragona,1268630,2004-12-04
62,Suelo,Alquiler,Tarragona,391964,2004-11-14
275,Oficina,Alquiler,Tarragona,1765225,2005-02-20
45,Local,Venta,Lleida,229455,2004-10-05
105,Oficina,Alquiler,Lleida,624435,2004-06-24
119,Casa,Venta,Barcelona,686154,2005-01-19
88,Industrial,Venta,Girona,678480,2004-12-28
63,Local,Alquiler,Tarragona,533925,2004-09-22
222,Piso,Venta,Barcelona,1076034,2004-06-02
47,Suelo,Venta,Barcelona,455477,2004-12-31
123,Oficina,Venta,Tarragona,1128156,2004-09-23
134,Oficina,Alquiler,Tarragona,1310520,2004-12-28
121,Parking,Alquiler,Barcelona,782870,2004-11-19
50,Piso,Venta,Girona,315550,2004-10-14
274,Parking,Venta,Girona,2028970,2004-08-20
76,Parking,Alquiler,Barcelona,734388,2004-05-28
109,Local,Venta,Barcelona,779241,2004-05-30
249,Piso,Venta,Lleida,1492506,2005-02-12
212,Casa,Alquiler,Lleida,1800516,2004-12-19
128,Oficina,Alquiler,Lleida,1259904,2004-10-02
172,Oficina,Venta,Tarragona,1063648,2005-02-13
68,Piso,Venta,Lleida,434656,2004-07-13
52,Industrial,Alquiler,Lleida,508924,2004-09-03
185,Suelo,Alquiler,Girona,1403595,2004-10-02
284,Casa,Venta,Girona,1561432,2004-07-01
202,Oficina,Venta,Tarragona,1891932,2004-10-02
100,Casa,Alquiler,Lleida,731700,2004-10-10
106,Local,Venta,Lleida,563178,2004-08-01
211,Casa,Venta,Tarragona,875228,2004-07-23
165,Suelo,Venta,Tarragona,1305480,2004-07-29
251,Piso,Alquiler,Lleida,1361675,2004-08-16
266,Local,Venta,Tarragona,1161090,2004-11-23
287,Oficina,Alquiler,Girona,1395681,2004-09-13
104,Industrial,Venta,Tarragona,1001104,2004-10-11
250,Oficina,Venta,Tarragona,2275500,2004-07-29
169,Parking,Venta,Girona,1370759,2005-01-14
221,Suelo,Venta,Lleida,1842035,2004-10-15
286,Industrial,Alquiler,Barcelona,2080078,2004-07-14
73,Suelo,Alquiler,Lleida,597286,2005-02-20
144,Suelo,Venta,Girona,1358640,2004-11-13
108,Piso,Alquiler,Tarragona,558252,2004-10-19
268,Oficina,Venta,Girona,2400476,2005-03-08
143,Piso,Alquiler,Lleida,1131416,2004-08-25
52,Local,Venta,Barcelona,416936,2004-08-25
193,Industrial,Alquiler,Lleida,1658835,2004-08-30
148,Suelo,Venta,Tarragona,1431012,2004-09-01
118,Local,Venta,Tarragona,513300,2004-10-26
156,Industrial,Venta,Barcelona,848328,2005-02-27
201,Suelo,Alquiler,Tarragona,1874928,2004-06-21
42,Oficina,Venta,Tarragona,367584,2004-08-11
162,Local,Alquiler,Tarragona,1323054,2004-08-25
231,Local,Alquiler,Girona,1446522,2004-09-02
273,Suelo,Venta,Tarragona,1447992,2004-10-24
265,Industrial,Venta,Barcelona,2109930,2004-08-27
87,Casa,Alquiler,Girona,779868,2004-10-23
95,Local,Alquiler,Barcelona,919030,2004-12-10
63,Casa,Venta,Lleida,537264,2005-02-08
160,Parking,Venta,Girona,1261600,2004-10-25
95,Parking,Alquiler,Lleida,448210,2004-10-25
71,Suelo,Alquiler,Tarragona,431325,2004-07-23
56,Local,Venta,Girona,553616,2005-03-09
59,Suelo,Venta,Tarragona,453651,2004-10-07
117,Local,Alquiler,Girona,986895,2004-09-14
62,Piso,Venta,Girona,250852,2004-07-21
281,Piso,Alquiler,Barcelona,1336717,2004-11-10
87,Piso,Venta,Tarragona,519738,2005-01-13
174,Oficina,Alquiler,Girona,720882,2004-08-14
177,Oficina,Venta,Lleida,842343,2005-03-10
281,Parking,Venta,Tarragona,2108343,2004-09-26
247,Parking,Venta,Girona,1050985,2004-11-09
52,Piso,Alquiler,Girona,298272,2004-08-13
169,Local,Alquiler,Girona,902798,2004-07-16
106,Local,Alquiler,Barcelona,692180,2004-11-09
274,Local,Venta,Girona,2002392,2004-12-04
250,Piso,Alquiler,Lleida,2253500,2005-02-21
134,Piso,Alquiler,Lleida,1338124,2004-08-19
156,Casa,Venta,Lleida,1369680,2004-09-27
167,Parking,Venta,Lleida,1643948,2004-09-21
206,Oficina,Alquiler,Lleida,1297594,2005-03-03
269,Parking,Alquiler,Barcelona,2134246,2004-08-11
63,Casa,Alquiler,Barcelona,492156,2004-10-25
223,Suelo,Alquiler,Lleida,1932518,2005-01-19
163,Industrial,Venta,Girona,1385011,2004-08-26
214,Parking,Alquiler,Girona,1219158,2004-07-13
263,Industrial,Venta,Tarragona,1494892,2005-02-02
216,Industrial,Alquiler,Lleida,1398600,2004-11-03
65,Suelo,Alquiler,Tarragona,461435,2004-12-31
46,Industrial,Alquiler,Girona,351256,2005-03-28
209,Industrial,Alquiler,Lleida,1042283,2004-09-17
56,Casa,Alquiler,Barcelona,474600,2004-08-27
82,Local,Alquiler,Girona,420660,2004-10-02
62,Suelo,Alquiler,Girona,489924,2004-09-09
192,Oficina,Venta,Tarragona,1032000,2004-08-21
152,Parking,Alquiler,Barcelona,1069320,2004-12-15
182,Local,Alquiler,Tarragona,1133132,2004-08-29
179,Casa,Venta,Lleida,1670965,2004-09-09
211,Local,Venta,Girona,2010619,2004-11-12
117,Oficina,Venta,Tarragona,739206,2005-01-25
186,Oficina,Alquiler,Tarragona,1382166,2005-03-01
143,Local,Alquiler,Barcelona,665951,2005-02-18
212,Oficina,Venta,Tarragona,1479548,2004-11-03
246,Local,Alquiler,Girona,1362348,2004-10-05
230,Suelo,Venta,Girona,1722700,2005-03-26
126,Suelo,Venta,Lleida,848358,2004-11-02
226,Industrial,Venta,Girona,2104286,2004-08-26
262,Piso,Venta,Tarragona,1748850,2004-10-07
170,Casa,Alquiler,Barcelona,995520,2005-02-01
268,Piso,Alquiler,Lleida,2338032,2005-01-02
164,Parking,Venta,Barcelona,1298716,2004-12-03
260,Local,Venta,Lleida,2038660,2004-07-26
69,Suelo,Venta,Barcelona,656535,2004-08-16
298,Local,Venta,Lleida,1870546,2005-03-31
284,Local,Alquiler,Tarragona,1431076,2004-12-22
239,Casa,Venta,Barcelona,1176597,2004-07-07
287,Local,Venta,Girona,1936102,2005-04-08
159,Industrial,Alquiler,Barcelona,1582527,2004-12-09
136,Suelo,Alquiler,Girona,873120,2004-12-26
223,Industrial,Venta,Tarragona,2026401,2004-12-13
175,Piso,Alquiler,Lleida,747075,2005-02-01
124,Suelo,Venta,Lleida,1130632,2005-01-22
168,Parking,Alquiler,Lleida,1622040,2004-10-15
106,Parking,Venta,Tarragona,567206,2004-08-08
67,Piso,Venta,Girona,379689,2004-10-29
49,Local,Alquiler,Barcelona,424536,2005-03-04
238,Industrial,Venta,Girona,1620304,2004-10-05
261,Suelo,Alquiler,Lleida,1220697,2005-02-09
242,Suelo,Alquiler,Barcelona,1099648,2005-02-13
138,Parking,Venta,Tarragona,1183212,2005-02-26
258,Piso,Alquiler,Tarragona,1750014,2004-12-09
201,Casa,Alquiler,Lleida,1107108,2005-04-07
181,Casa,Alquiler,Barcelona,1449629,2004-09-14
244,Oficina,Alquiler,Barcelona,1006988,2004-08-06
258,Parking,Alquiler,Tarragona,1770912,2005-03-02
105,Parking,Venta,Barcelona,927255,2004-11-21
216,Parking,Alquiler,Tarragona,1125792,2004-09-16
204,Casa,Venta,Girona,1291116,2004-09-27
150,Industrial,Alquiler,Girona,968250,2005-02-15
52,Parking,Venta,Lleida,446888,2004-09-01
223,Parking,Alquiler,Tarragona,1342906,2004-10-31
237,Local,Alquiler,Lleida,1093281,2005-01-02
270,Suelo,Venta,Lleida,2409210,2004-09-03
120,Piso,Alquiler,Lleida,722880,2005-02-14
113,Piso,Alquiler,Lleida,1102880,2005-03-17
193,Local,Alquiler,Girona,1079449,2004-11-20
110,Oficina,Alquiler,Girona,1039500,2004-11-17
209,Parking,Venta,Barcelona,2038586,2005-01-06
125,Suelo,Alquiler,Girona,853750,2004-08-25
244,Suelo,Venta,Girona,1414956,2005-02-26
154,Oficina,Venta,Barcelona,881804,2004-08-25
258,Oficina,Venta,Girona,1081278,2005-04-13
285,Casa,Venta,Girona,2534505,2004-12-28
137,Oficina,Alquiler,Tarragona,1336298,2004-11-27
262,Suelo,Alquiler,Girona,2404898,2004-10-20
143,Industrial,Alquiler,Tarragona,712712,2005-01-10
65,Industrial,Venta,Barcelona,523770,2005-01-24
225,Industrial,Alquiler,Barcelona,1360800,2004-07-22
177,Casa,Alquiler,Lleida,924294,2005-01-19
163,Suelo,Venta,Lleida,895359,2005-02-17
227,Oficina,Alquiler,Girona,1437818,2005-03-27
295,Casa,Alquiler,Tarragona,1877675,2004-09-11
54,Parking,Venta,Barcelona,258444,2005-03-08
82,Parking,Venta,Girona,430418,2005-02-09
86,Oficina,Venta,Girona,589960,2005-03-18
133,Oficina,Venta,Girona,786695,2004-11-21
235,Parking,Alquiler,Barcelona,1773780,2005-03-28
288,Suelo,Alquiler,Girona,2699136,2004-07-28
106,Industrial,Venta,Barcelona,600596,2004-11-23
45,Industrial,Venta,Girona,307170,2005-04-16
85,Suelo,Alquiler,Tarragona,683230,2005-02-06
178,Casa,Alquiler,Tarragona,1458176,2005-02-12
211,Industrial,Alquiler,Girona,1171894,2005-03-22
209,Oficina,Venta,Girona,1728221,2004-08-30
298,Casa,Alquiler,Barcelona,2612566,2005-02-16
249,Oficina,Venta,Girona,1150380,2004-11-18
142,Piso,Venta,Lleida,1055912,2004-09-28
196,Industrial,Venta,Lleida,1645616,2005-04-14
228,Suelo,Alquiler,Barcelona,1521216,2005-03-16
237,Piso,Alquiler,Lleida,1763517,2004-09-06
121,Industrial,Venta,Lleida,792792,2004-09-23
61,Suelo,Venta,Lleida,605425,2004-12-29
189,Industrial,Venta,Girona,1579284,2005-01-07
91,Local,Alquiler,Barcelona,391391,2005-02-13
230,Suelo,Alquiler,Tarragona,1386900,2005-03-21
251,Casa,Alquiler,Barcelona,2439971,2005-02-14
261,Industrial,Alquiler,Barcelona,2571111,2005-02-07
251,Parking,Alquiler,Barcelona,1754992,2004-08-26
46,Suelo,Alquiler,Lleida,440772,2004-11-17
123,Piso,Venta,Tarragona,961368,2004-09-04
277,Industrial,Alquiler,Girona,2456159,2004-08-04
190,Industrial,Alquiler,Girona,977740,2004-08-12
42,Suelo,Venta,Barcelona,255906,2004-11-09
237,Parking,Venta,Barcelona,1592166,2004-10-15
155,Suelo,Alquiler,Barcelona,876060,2004-12-31
60,Piso,Venta,Girona,332400,2004-08-30
179,Industrial,Alquiler,Barcelona,1227224,2004-10-08
180,Suelo,Venta,Tarragona,1022040,2005-03-28
273,Suelo,Venta,Barcelona,1369368,2005-04-17
285,Industrial,Venta,Lleida,1922325,2004-11-11
125,Parking,Alquiler,Girona,1189250,2004-10-26
205,Parking,Alquiler,Barcelona,990355,2004-12-08
138,Local,Alquiler,Girona,877680,2005-03-31
110,Piso,Venta,Barcelona,803000,2004-08-25
242,Industrial,Alquiler,Tarragona,2110966,2005-01-22
148,Piso,Venta,Lleida,634920,2005-04-27
227,Local,Alquiler,Tarragona,1394461,2005-01-28
102,Oficina,Venta,Girona,413610,2004-09-15
41,Oficina,Alquiler,Barcelona,361661,2005-01-28
75,Suelo,Alquiler,Girona,683175,2004-09-04
99,Suelo,Venta,Lleida,783783,2004-12-01
229,Casa,Venta,Tarragona,1990697,2004-11-02
259,Local,Alquiler,Lleida,1992228,2004-12-21
175,Parking,Venta,Barcelona,1178100,2004-11-12
146,Casa,Venta,Barcelona,1083466,2004-09-19
131,Industrial,Alquiler,Tarragona,1263495,2005-01-01
202,Local,Venta,Tarragona,1320676,2004-12-23
173,Industrial,Venta,Barcelona,851852,2004-09-18
187,Oficina,Alquiler,Girona,1560889,2005-03-26
234,Parking,Venta,Tarragona,1398852,2004-11-01
103,Oficina,Venta,Girona,680830,2004-09-21
75,Piso,Alquiler,Girona,418725,2005-04-24
241,Casa,Venta,Tarragona,2060550,2004-10-10
257,Piso,Alquiler,Tarragona,1980185,2004-08-14
122,Piso,Venta,Girona,885476,2005-03-30
209,Oficina,Alquiler,Tarragona,1181686,2004-10-15
154,Parking,Alquiler,Lleida,830830,2005-02-03
196,Suelo,Venta,Girona,1707944,2004-08-19
131,Piso,Venta,Barcelona,1180048,2004-11-04
130,Parking,Venta,Lleida,1176630,2005-03-18
156,Local,Venta,Barcelona,896220,2005-03-19
291,Local,Venta,Lleida,1505925,2005-03-10
141,Casa,Venta,Lleida,732495,2004-12-02
68,Suelo,Alquiler,Girona,378624,2005-03-30
267,Local,Venta,Lleida,1257036,2004-12-26
137,Local,Alquiler,Tarragona,673355,2004-10-16
137,Oficina,Venta,Lleida,961192,2005-05-10
76,Industrial,Alquiler,Lleida,501220,2005-03-24
80,Casa,Venta,Girona,354320,2004-10-18
149,Casa,Alquiler,Barcelona,1238339,2004-12-27
285,Suelo,Alquiler,Tarragona,1377975,2004-09-14
230,Oficina,Venta,Barcelona,1109980,2004-12-08
163,Parking,Alquiler,Lleida,1317529,2005-05-03
131,Suelo,Alquiler,Barcelona,822811,2005-05-21
167,Piso,Alquiler,Tarragona,895287,2004-11-13
230,Local,Venta,Tarragona,1398630,2005-04-10
247,Industrial,Alquiler,Lleida,1210053,2004-09-04
105,Oficina,Alquiler,Barcelona,525210,2005-04-16
280,Suelo,Alquiler,Girona,1680000,2004-09-17
108,Piso,Venta,Girona,812808,2004-10-13
269,Local,Venta,Lleida,2586704,2005-03-27
123,Casa,Venta,Girona,775884,2004-10-21
264,Suelo,Alquiler,Lleida,2582184,2005-04-24
298,Industrial,Alquiler,Lleida,1331166,2004-12-28
200,Parking,Venta,Barcelona,1823400,2004-10-20
197,Parking,Venta,Barcelona,1746405,2005-03-20
184,Parking,Alquiler,Girona,830760,2004-09-13
119,Oficina,Venta,Barcelona,486472,2004-09-04
137,Parking,Alquiler,Girona,835152,2005-02-13
196,Oficina,Alquiler,Tarragona,882784,2005-02-02
65,Parking,Alquiler,Tarragona,389350,2004-12-10
300,Suelo,Venta,Girona,1483500,2005-03-29
202,Piso,Alquiler,Barcelona,1560450,2005-02-06
225,Piso,Venta,Girona,1164375,2005-03-04
203,Local,Alquiler,Barcelona,946792,2005-04-17
192,Casa,Alquiler,Girona,1159296,2005-05-23
296,Parking,Alquiler,Lleida,1602544,2004-09-07
177,Parking,Venta,Barcelona,933321,2005-05-10
72,Industrial,Venta,Girona,427824,2004-11-08
65,Industrial,Venta,Tarragona,483860,2005-01-24
208,Parking,Venta,Tarragona,1225120,2005-01-22
271,Piso,Alquiler,Barcelona,2682900,2005-06-02
278,Industrial,Alquiler,Lleida,2188138,2005-01-21
90,Piso,Venta,Girona,770040,2005-04-26
72,Casa,Alquiler,Lleida,702576,2005-03-22
224,Local,Venta,Tarragona,1804992,2005-01-20
207,Oficina,Venta,Barcelona,1883700,2005-02-23
162,Industrial,Venta,Barcelona,1383480,2004-12-16
74,Industrial,Alquiler,Barcelona,729788,2005-01-22
293,Parking,Venta,Girona,1750089,2005-04-05
46,Piso,Alquiler,Lleida,435252,2004-10-30
90,Local,Venta,Girona,742770,2004-11-27
148,Local,Venta,Girona,1268952,2004-10-14
189,Piso,Alquiler,Tarragona,1527498,2005-05-14
56,Suelo,Venta,Lleida,425432,2004-09-23
46,Parking,Venta,Barcelona,386584,2004-12-17
201,Oficina,Alquiler,Lleida,1287807,2004-09-11
254,Suelo,Venta,Barcelona,1381506,2005-04-14
287,Industrial,Alquiler,Girona,2452989,2005-01-26
174,Parking,Venta,Girona,952302,2004-12-06
114,Piso,Alquiler,Lleida,1019160,2005-05-29
135,Suelo,Venta,Barcelona,1209735,2005-05-05
126,Piso,Alquiler,Barcelona,637308,2004-11-09
260,Local,Alquiler,Barcelona,1090180,2004-12-16
261,Parking,Venta,Barcelona,1945755,2004-11-06
173,Casa,Venta,Girona,1117753,2004-12-11
207,Oficina,Alquiler,Lleida,1042659,2004-10-12
81,Piso,Venta,Barcelona,583362,2005-05-04
52,Piso,Alquiler,Lleida,338364,2005-01-04
271,Parking,Alquiler,Tarragona,2190493,2004-11-02
249,Oficina,Venta,Tarragona,1388175,2004-10-29
153,Suelo,Alquiler,Tarragona,1116441,2004-12-19
205,Oficina,Alquiler,Lleida,1980300,2005-01-01
144,Suelo,Venta,Tarragona,852480,2005-06-04
246,Local,Alquiler,Tarragona,1898628,2004-12-15
233,Industrial,Alquiler,Girona,1541528,2005-02-03
105,Suelo,Venta,Tarragona,783195,2004-11-20
107,Parking,Venta,Girona,909821,2005-05-03
158,Oficina,Venta,Barcelona,1543344,2004-12-26
298,Oficina,Alquiler,Girona,2524358,2004-10-23
115,Parking,Venta,Barcelona,1077665,2004-09-19
102,Parking,Venta,Barcelona,790602,2004-11-09
211,Parking,Venta,Tarragona,872063,2005-02-26
245,Piso,Alquiler,Girona,1001070,2004-10-14
102,Parking,Venta,Barcelona,1005312,2005-06-09
44,Local,Alquiler,Girona,189156,2004-11-25
57,Casa,Alquiler,Tarragona,419178,2005-03-18
263,Parking,Alquiler,Lleida,1779458,2005-01-24
234,Local,Alquiler,Girona,1159470,2004-10-02
118,Local,Venta,Girona,788948,2005-04-08
248,Industrial,Alquiler,Lleida,1674744,2005-05-01
54,Oficina,Venta,Barcelona,406998,2005-04-25
215,Suelo,Venta,Lleida,2097970,2004-11-13
185,Suelo,Venta,Girona,1616900,2005-04-08
72,Oficina,Alquiler,Barcelona,458568,2004-10-06
244,Parking,Alquiler,Barcelona,2439512,2005-01-02
195,Piso,Venta,Lleida,1797120,2004-12-31
104,Suelo,Alquiler,Lleida,511680,2005-06-05
71,Piso,Alquiler,Barcelona,587880,2004-10-03
107,Oficina,Venta,Girona,590426,2004-11-03
77,Oficina,Alquiler,Barcelona,322322,2005-03-12
90,Casa,Venta,Girona,412740,2004-09-26
204,Oficina,Alquiler,Lleida,924732,2005-04-28
214,Casa,Venta,Girona,1962380,2005-06-01
143,Casa,Alquiler,Girona,836836,2005-06-15
268,Industrial,Alquiler,Lleida,2628812,2005-03-15
44,Local,Alquiler,Tarragona,242704,2004-10-03
126,Local,Venta,Girona,520758,2005-06-16
215,Local,Venta,Tarragona,870105,2005-04-02
65,Casa,Alquiler,Barcelona,546780,2004-12-13
191,Parking,Venta,Tarragona,875544,2004-11-01
155,Casa,Venta,Lleida,801350,2005-01-14
297,Suelo,Venta,Tarragona,1820016,2005-01-08
105,Parking,Alquiler,Lleida,872760,2005-03-26
199,Suelo,Venta,Girona,1622646,2005-06-23
136,Suelo,Alquiler,Tarragona,568480,2004-12-03
88,Oficina,Alquiler,Lleida,851488,2005-05-25
86,Suelo,Alquiler,Lleida,855442,2004-10-20
189,Suelo,Alquiler,Lleida,913248,2005-05-13
232,Oficina,Venta,Girona,1028224,2005-05-26
58,Suelo,Venta,Lleida,530816,2004-10-07
257,Oficina,Alquiler,Barcelona,1166780,2005-01-10
243,Industrial,Venta,Tarragona,1983123,2005-06-16
134,Oficina,Venta,Lleida,946710,2005-01-04
153,Casa,Venta,Girona,1506438,2004-12-03
122,Piso,Alquiler,Tarragona,1093608,2005-02-27
283,Piso,Venta,Girona,2199476,2005-06-04
261,Casa,Venta,Lleida,2475063,2005-01-21
185,Piso,Alquiler,Lleida,1306840,2005-05-17
60,Casa,Venta,Tarragona,253920,2005-01-30
234,Parking,Alquiler,Barcelona,1911312,2005-04-08
62,Piso,Alquiler,Girona,358670,2005-06-04
282,Local,Venta,Lleida,1298328,2005-03-10
299,Parking,Alquiler,Lleida,1948583,2004-12-21
274,Piso,Venta,Barcelona,1729762,2005-07-03
268,Oficina,Venta,Barcelona,2578696,2005-06-28
155,Piso,Alquiler,Lleida,1166065,2004-12-07
209,Oficina,Venta,Girona,1316073,2005-04-02
110,Suelo,Alquiler,Tarragona,1004740,2005-07-03
61,Casa,Venta,Barcelona,531432,2005-05-22
240,Industrial,Alquiler,Lleida,2238000,2005-05-06
229,Casa,Venta,Lleida,965006,2005-02-02
224,Piso,Alquiler,Lleida,2087904,2005-01-29
72,Piso,Venta,Barcelona,647352,2005-06-07
186,Oficina,Venta,Lleida,1216254,2005-04-09
172,Industrial,Venta,Tarragona,860172,2005-05-16
235,Industrial,Alquiler,Tarragona,1207195,2004-10-14
159,Industrial,Alquiler,Tarragona,1032546,2004-11-07
271,Local,Venta,Barcelona,2297538,2004-11-22
80,Parking,Venta,Tarragona,428240,2005-02-01
227,Industrial,Alquiler,Barcelona,1175860,2005-07-05
40,Industrial,Venta,Lleida,258560,2005-03-22
239,Parking,Alquiler,Tarragona,1782940,2004-11-13
191,Casa,Alquiler,Barcelona,1841622,2005-01-21
