Superficie,Referencia,Fecha Alta,Tipo,Operación,Provincia,Precio Venta,Fecha Venta,Vendedor
250,206,2004-03-23,Piso,Alquiler,Lleida,2253500,2005-02-21,Joaquín
167,209,2004-03-24,Parking,Venta,Lleida,1643948,2004-09-21,María
269,211,2004-03-25,Parking,Alquiler,Barcelona,2134246,2004-08-11,Carmen
223,213,2004-03-26,Suelo,Alquiler,Lleida,1932518,2005-01-19,Pedro
163,214,2004-03-26,Industrial,Venta,Girona,1385011,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,1219158,2004-07-13,Pedro
46,219,2004-03-29,Industrial,Alquiler,Girona,351256,2005-03-28,Luisa
82,222,2004-03-30,Local,Alquiler,Girona,420660,2004-10-02,María
62,223,2004-03-31,Suelo,Alquiler,Girona,489924,2004-09-09,Luisa
179,227,2004-04-01,Casa,Venta,Lleida,1670965,2004-09-09,Luisa
211,228,2004-04-01,Local,Venta,Girona,2010619,2004-11-12,Jesús
246,233,2004-04-03,Local,Alquiler,Girona,1362348,2004-10-05,Joaquín
230,234,2004-04-03,Suelo,Venta,Girona,1722700,2005-03-26,Carmen
226,236,2004-04-03,Industrial,Venta,Girona,2104286,2004-08-26,Carmen
262,237,2004-04-05,Piso,Venta,Tarragona,1748850,2004-10-07,Pedro
268,239,2004-04-05,Piso,Alquiler,Lleida,2338032,2005-01-02,Pedro
260,241,2004-04-06,Local,Venta,Lleida,2038660,2004-07-26,Carmen
298,243,2004-04-07,Local,Venta,Lleida,1870546,2005-03-31,Luisa
287,246,2004-04-09,Local,Venta,Girona,1936102,2005-04-08,Jesús
159,247,2004-04-09,Industrial,Alquiler,Barcelona,1582527,2004-12-09,Jesús
136,248,2004-04-09,Suelo,Alquiler,Girona,873120,2004-12-26,Pedro
223,249,2004-04-09,Industrial,Venta,Tarragona,2026401,2004-12-13,Joaquín
168,252,2004-04-09,Parking,Alquiler,Lleida,1622040,2004-10-15,María
67,254,2004-04-10,Piso,Venta,Girona,379689,2004-10-29,Pedro
238,256,2004-04-10,Industrial,Venta,Girona,1620304,2004-10-05,Carmen
258,260,2004-04-12,Piso,Alquiler,Tarragona,1750014,2004-12-09,Luisa
258,264,2004-04-14,Parking,Alquiler,Tarragona,1770912,2005-03-02,Jesús
204,267,2004-04-14,Casa,Venta,Girona,1291116,2004-09-27,Carmen
150,268,2004-04-15,Industrial,Alquiler,Girona,968250,2005-02-15,María
270,272,2004-04-15,Suelo,Venta,Lleida,2409210,2004-09-03,Carmen
193,275,2004-04-16,Local,Alquiler,Girona,1079449,2004-11-20,Pedro
110,276,2004-04-17,Oficina,Alquiler,Girona,1039500,2004-11-17,Pedro
209,277,2004-04-17,Parking,Venta,Barcelona,2038586,2005-01-06,Jesús
125,278,2004-04-17,Suelo,Alquiler,Girona,853750,2004-08-25,Carmen
244,279,2004-04-18,Suelo,Venta,Girona,1414956,2005-02-26,María
258,281,2004-04-18,Oficina,Venta,Girona,1081278,2005-04-13,Carmen
285,282,2004-04-18,Casa,Venta,Girona,2534505,2004-12-28,Jesús
262,284,2004-04-19,Suelo,Alquiler,Girona,2404898,2004-10-20,Luisa
227,290,2004-04-20,Oficina,Alquiler,Girona,1437818,2005-03-27,Jesús
295,291,2004-04-21,Casa,Alquiler,Tarragona,1877675,2004-09-11,Pedro
82,293,2004-04-22,Parking,Venta,Girona,430418,2005-02-09,Luisa
86,294,2004-04-22,Oficina,Venta,Girona,589960,2005-03-18,Carmen
133,295,2004-04-22,Oficina,Venta,Girona,786695,2004-11-21,Luisa
235,296,2004-04-22,Parking,Alquiler,Barcelona,1773780,2005-03-28,Pedro
288,297,2004-04-23,Suelo,Alquiler,Girona,2699136,2004-07-28,Pedro
45,299,2004-04-23,Industrial,Venta,Girona,307170,2005-04-16,Joaquín
211,302,2004-04-24,Industrial,Alquiler,Girona,1171894,2005-03-22,Pedro
209,303,2004-04-25,Oficina,Venta,Girona,1728221,2004-08-30,Carmen
298,304,2004-04-26,Casa,Alquiler,Barcelona,2612566,2005-02-16,Pedro
249,305,2004-04-27,Oficina,Venta,Girona,1150380,2004-11-18,Joaquín
196,307,2004-04-27,Industrial,Venta,Lleida,1645616,2005-04-14,Carmen
228,308,2004-04-28,Suelo,Alquiler,Barcelona,1521216,2005-03-16,Carmen
237,309,2004-04-28,Piso,Alquiler,Lleida,1763517,2004-09-06,Luisa
189,312,2004-04-29,Industrial,Venta,Girona,1579284,2005-01-07,Luisa
251,315,2004-05-01,Casa,Alquiler,Barcelona,2439971,2005-02-14,Joaquín
261,316,2004-05-02,Industrial,Alquiler,Barcelona,2571111,2005-02-07,Carmen
251,317,2004-05-02,Parking,Alquiler,Barcelona,1754992,2004-08-26,Jesús
277,320,2004-05-02,Industrial,Alquiler,Girona,2456159,2004-08-04,María
190,321,2004-05-03,Industrial,Alquiler,Girona,977740,2004-08-12,Pedro
237,323,2004-05-03,Parking,Venta,Barcelona,1592166,2004-10-15,María
60,325,2004-05-04,Piso,Venta,Girona,332400,2004-08-30,Joaquín
285,329,2004-05-04,Industrial,Venta,Lleida,1922325,2004-11-11,María
125,330,2004-05-05,Parking,Alquiler,Girona,1189250,2004-10-26,Pedro
138,332,2004-05-06,Local,Alquiler,Girona,877680,2005-03-31,Luisa
242,334,2004-05-07,Industrial,Alquiler,Tarragona,2110966,2005-01-22,Pedro
102,337,2004-05-08,Oficina,Venta,Girona,413610,2004-09-15,Pedro
75,339,2004-05-09,Suelo,Alquiler,Girona,683175,2004-09-04,Joaquín
229,341,2004-05-10,Casa,Venta,Tarragona,1990697,2004-11-02,Pedro
259,342,2004-05-10,Local,Alquiler,Lleida,1992228,2004-12-21,Pedro
187,348,2004-05-11,Oficina,Alquiler,Girona,1560889,2005-03-26,Joaquín
103,350,2004-05-13,Oficina,Venta,Girona,680830,2004-09-21,María
75,351,2004-05-13,Piso,Alquiler,Girona,418725,2005-04-24,Pedro
241,352,2004-05-14,Casa,Venta,Tarragona,2060550,2004-10-10,Luisa
257,353,2004-05-14,Piso,Alquiler,Tarragona,1980185,2004-08-14,Carmen
122,354,2004-05-14,Piso,Venta,Girona,885476,2005-03-30,Carmen
196,357,2004-05-15,Suelo,Venta,Girona,1707944,2004-08-19,Pedro
291,361,2004-05-17,Local,Venta,Lleida,1505925,2005-03-10,Luisa
68,363,2004-05-18,Suelo,Alquiler,Girona,378624,2005-03-30,Carmen
80,368,2004-05-18,Casa,Venta,Girona,354320,2004-10-18,Carmen
280,378,2004-05-24,Suelo,Alquiler,Girona,1680000,2004-09-17,María
108,379,2004-05-24,Piso,Venta,Girona,812808,2004-10-13,Jesús
269,380,2004-05-25,Local,Venta,Lleida,2586704,2005-03-27,Carmen
123,381,2004-05-25,Casa,Venta,Girona,775884,2004-10-21,Joaquín
264,382,2004-05-26,Suelo,Alquiler,Lleida,2582184,2005-04-24,Luisa
200,384,2004-05-26,Parking,Venta,Barcelona,1823400,2004-10-20,Joaquín
197,385,2004-05-26,Parking,Venta,Barcelona,1746405,2005-03-20,Luisa
184,386,2004-05-26,Parking,Alquiler,Girona,830760,2004-09-13,Pedro
137,388,2004-05-28,Parking,Alquiler,Girona,835152,2005-02-13,Jesús
300,391,2004-05-30,Suelo,Venta,Girona,1483500,2005-03-29,Carmen
202,392,2004-05-30,Piso,Alquiler,Barcelona,1560450,2005-02-06,Jesús
225,393,2004-05-31,Piso,Venta,Girona,1164375,2005-03-04,Pedro
192,395,2004-05-31,Casa,Alquiler,Girona,1159296,2005-05-23,Carmen
296,396,2004-05-31,Parking,Alquiler,Lleida,1602544,2004-09-07,Jesús
72,398,2004-06-01,Industrial,Venta,Girona,427824,2004-11-08,Luisa
271,401,2004-06-02,Piso,Alquiler,Barcelona,2682900,2005-06-02,Pedro
278,402,2004-06-02,Industrial,Alquiler,Lleida,2188138,2005-01-21,María
90,403,2004-06-02,Piso,Venta,Girona,770040,2005-04-26,Jesús
224,405,2004-06-03,Local,Venta,Tarragona,1804992,2005-01-20,Jesús
207,406,2004-06-03,Oficina,Venta,Barcelona,1883700,2005-02-23,Carmen
293,409,2004-06-04,Parking,Venta,Girona,1750089,2005-04-05,Luisa
90,411,2004-06-05,Local,Venta,Girona,742770,2004-11-27,Luisa
148,412,2004-06-05,Local,Venta,Girona,1268952,2004-10-14,María
189,413,2004-06-05,Piso,Alquiler,Tarragona,1527498,2005-05-14,Luisa
287,418,2004-06-07,Industrial,Alquiler,Girona,2452989,2005-01-26,Joaquín
174,419,2004-06-07,Parking,Venta,Girona,952302,2004-12-06,Luisa
261,424,2004-06-09,Parking,Venta,Barcelona,1945755,2004-11-06,Jesús
173,425,2004-06-09,Casa,Venta,Girona,1117753,2004-12-11,María
271,429,2004-06-11,Parking,Alquiler,Tarragona,2190493,2004-11-02,Jesús
205,432,2004-06-12,Oficina,Alquiler,Lleida,1980300,2005-01-01,Joaquín
246,434,2004-06-13,Local,Alquiler,Tarragona,1898628,2004-12-15,Joaquín
233,435,2004-06-13,Industrial,Alquiler,Girona,1541528,2005-02-03,Jesús
107,437,2004-06-14,Parking,Venta,Girona,909821,2005-05-03,Luisa
158,438,2004-06-14,Oficina,Venta,Barcelona,1543344,2004-12-26,Luisa
298,439,2004-06-15,Oficina,Alquiler,Girona,2524358,2004-10-23,Luisa
245,443,2004-06-17,Piso,Alquiler,Girona,1001070,2004-10-14,Jesús
44,445,2004-06-17,Local,Alquiler,Girona,189156,2004-11-25,Jesús
263,447,2004-06-17,Parking,Alquiler,Lleida,1779458,2005-01-24,Pedro
234,448,2004-06-17,Local,Alquiler,Girona,1159470,2004-10-02,Pedro
118,449,2004-06-17,Local,Venta,Girona,788948,2005-04-08,Pedro
248,450,2004-06-18,Industrial,Alquiler,Lleida,1674744,2005-05-01,Luisa
215,452,2004-06-19,Suelo,Venta,Lleida,2097970,2004-11-13,Pedro
185,453,2004-06-19,Suelo,Venta,Girona,1616900,2005-04-08,Jesús
244,455,2004-06-20,Parking,Alquiler,Barcelona,2439512,2005-01-02,Carmen
195,456,2004-06-20,Piso,Venta,Lleida,1797120,2004-12-31,María
107,459,2004-06-21,Oficina,Venta,Girona,590426,2004-11-03,María
90,461,2004-06-22,Casa,Venta,Girona,412740,2004-09-26,María
214,463,2004-06-23,Casa,Venta,Girona,1962380,2005-06-01,Pedro
143,464,2004-06-24,Casa,Alquiler,Girona,836836,2005-06-15,Luisa
268,465,2004-06-24,Industrial,Alquiler,Lleida,2628812,2005-03-15,Pedro
126,467,2004-06-24,Local,Venta,Girona,520758,2005-06-16,Pedro
297,472,2004-06-25,Suelo,Venta,Tarragona,1820016,2005-01-08,María
199,474,2004-06-25,Suelo,Venta,Girona,1622646,2005-06-23,Jesús
232,479,2004-06-28,Oficina,Venta,Girona,1028224,2005-05-26,Luisa
243,482,2004-06-29,Industrial,Venta,Tarragona,1983123,2005-06-16,María
153,484,2004-06-30,Casa,Venta,Girona,1506438,2004-12-03,Luisa
283,486,2004-06-30,Piso,Venta,Girona,2199476,2005-06-04,Luisa
261,487,2004-06-30,Casa,Venta,Lleida,2475063,2005-01-21,Carmen
234,490,2004-07-02,Parking,Alquiler,Barcelona,1911312,2005-04-08,Luisa
62,491,2004-07-02,Piso,Alquiler,Girona,358670,2005-06-04,Luisa
299,493,2004-07-03,Parking,Alquiler,Lleida,1948583,2004-12-21,María
274,494,2004-07-03,Piso,Venta,Barcelona,1729762,2005-07-03,Luisa
268,495,2004-07-03,Oficina,Venta,Barcelona,2578696,2005-06-28,Luisa
209,497,2004-07-03,Oficina,Venta,Girona,1316073,2005-04-02,Pedro
240,500,2004-07-04,Industrial,Alquiler,Lleida,2238000,2005-05-06,Pedro
224,502,2004-07-05,Piso,Alquiler,Lleida,2087904,2005-01-29,Jesús
271,508,2004-07-05,Local,Venta,Barcelona,2297538,2004-11-22,Jesús
239,512,2004-07-06,Parking,Alquiler,Tarragona,1782940,2004-11-13,Joaquín
191,513,2004-07-06,Casa,Alquiler,Barcelona,1841622,2005-01-21,Jesús
174,517,2004-07-08,Industrial,Venta,Girona,1313526,2005-01-16,Pedro
108,518,2004-07-08,Casa,Venta,Girona,638064,2004-10-24,Luisa
270,523,2004-07-09,Suelo,Alquiler,Girona,1429380,2005-03-25,Carmen
159,524,2004-07-10,Piso,Alquiler,Barcelona,1536576,2005-06-24,Pedro
162,526,2004-07-11,Parking,Venta,Girona,1594404,2005-03-07,María
231,528,2004-07-12,Casa,Alquiler,Lleida,2273040,2005-02-04,Joaquín
62,534,2004-07-14,Oficina,Venta,Girona,410316,2004-12-27,Luisa
280,535,2004-07-14,Industrial,Alquiler,Lleida,1730680,2005-05-07,Carmen
197,536,2004-07-14,Casa,Venta,Girona,1292123,2005-06-30,Joaquín
117,537,2004-07-14,Local,Alquiler,Girona,1031121,2005-04-30,Luisa
279,538,2004-07-15,Industrial,Alquiler,Girona,2161134,2005-03-09,María
62,541,2004-07-16,Casa,Alquiler,Girona,251596,2005-06-20,Jesús
182,542,2004-07-16,Oficina,Venta,Barcelona,1514968,2004-10-24,María
200,547,2004-07-20,Casa,Alquiler,Girona,1000000,2004-12-13,Jesús
286,548,2004-07-20,Parking,Venta,Barcelona,2330042,2004-10-21,Carmen
237,549,2004-07-20,Local,Venta,Girona,1403988,2005-06-27,Carmen
275,550,2004-07-21,Casa,Alquiler,Lleida,1711325,2005-04-27,Luisa
237,551,2004-07-21,Piso,Alquiler,Girona,2215002,2004-10-31,Pedro
209,553,2004-07-21,Oficina,Venta,Barcelona,1568754,2004-12-15,Pedro
138,555,2004-07-22,Piso,Venta,Girona,1289748,2004-12-25,Luisa
198,557,2004-07-23,Piso,Alquiler,Girona,1916442,2005-04-14,Joaquín
246,558,2004-07-24,Piso,Alquiler,Girona,1875012,2005-03-08,Luisa
188,559,2004-07-24,Local,Alquiler,Tarragona,1590104,2004-10-26,Pedro
161,562,2004-07-25,Piso,Alquiler,Girona,960526,2005-06-21,Joaquín
266,566,2004-07-26,Local,Alquiler,Girona,1881950,2005-01-15,María
235,572,2004-07-28,Local,Alquiler,Tarragona,1897155,2005-07-01,Carmen
280,575,2004-07-28,Parking,Alquiler,Barcelona,1877400,2005-04-21,Joaquín
221,578,2004-07-29,Oficina,Venta,Girona,1571973,2004-12-25,Joaquín
148,579,2004-07-29,Industrial,Venta,Girona,811780,2005-04-17,Luisa
226,580,2004-07-30,Parking,Venta,Tarragona,1634884,2005-07-20,María
230,581,2004-07-30,Casa,Venta,Tarragona,1742020,2004-11-16,Jesús
290,582,2004-07-31,Industrial,Venta,Lleida,2584480,2004-11-22,Jesús
297,583,2004-07-31,Local,Venta,Tarragona,1767744,2005-03-23,Pedro
257,584,2004-08-01,Casa,Alquiler,Girona,1077601,2005-02-07,Luisa
161,585,2004-08-01,Parking,Alquiler,Girona,1050203,2005-02-04,Joaquín
46,591,2004-08-03,Suelo,Alquiler,Girona,435712,2005-03-31,Luisa
145,592,2004-08-03,Parking,Alquiler,Girona,999630,2005-05-01,Pedro
147,601,2004-08-08,Casa,Alquiler,Girona,919632,2005-06-23,Luisa
227,602,2004-08-09,Industrial,Venta,Girona,1218763,2005-07-27,Joaquín
212,605,2004-08-10,Piso,Alquiler,Lleida,1817264,2005-06-25,María
287,609,2004-08-11,Suelo,Venta,Lleida,1790880,2004-11-18,Pedro
294,611,2004-08-11,Casa,Venta,Barcelona,2658936,2005-06-21,Luisa
92,612,2004-08-11,Casa,Alquiler,Girona,879244,2005-05-06,Joaquín
225,613,2004-08-11,Industrial,Venta,Barcelona,1879200,2004-11-19,Pedro
283,615,2004-08-12,Local,Venta,Lleida,1992320,2005-04-07,María
223,621,2004-08-14,Industrial,Venta,Tarragona,2171128,2005-03-23,Carmen
222,625,2004-08-15,Industrial,Alquiler,Girona,2171826,2005-01-12,Carmen
263,626,2004-08-16,Piso,Alquiler,Tarragona,2061131,2005-07-28,Joaquín
249,629,2004-08-17,Piso,Venta,Girona,1427019,2004-12-04,Jesús
170,630,2004-08-17,Parking,Alquiler,Girona,1567060,2005-02-19,María
272,631,2004-08-17,Parking,Alquiler,Barcelona,1972816,2005-08-14,Carmen
201,632,2004-08-17,Piso,Venta,Girona,1816437,2005-05-10,Pedro
167,633,2004-08-17,Parking,Alquiler,Girona,1191044,2005-01-11,Luisa
283,634,2004-08-18,Piso,Alquiler,Tarragona,2576432,2005-05-13,María
197,635,2004-08-18,Local,Alquiler,Girona,981651,2005-01-17,Jesús
277,639,2004-08-19,Piso,Alquiler,Girona,2646181,2005-07-04,Carmen
249,641,2004-08-19,Oficina,Venta,Girona,2306238,2005-03-02,María
119,642,2004-08-20,Industrial,Venta,Girona,711382,2005-08-01,Luisa
255,643,2004-08-20,Industrial,Alquiler,Lleida,2338095,2005-08-10,Carmen
227,645,2004-08-20,Industrial,Venta,Tarragona,1917696,2005-02-22,Joaquín
267,648,2004-08-21,Oficina,Venta,Girona,1153173,2005-03-28,Pedro
207,651,2004-08-22,Piso,Venta,Girona,1015956,2005-06-17,Jesús
259,652,2004-08-22,Oficina,Alquiler,Girona,1080548,2004-12-31,María
207,654,2004-08-22,Oficina,Alquiler,Girona,1953873,2005-06-10,Luisa
293,655,2004-08-22,Oficina,Venta,Girona,2787016,2005-03-23,Luisa
252,656,2004-08-23,Oficina,Venta,Tarragona,1773072,2005-04-01,Luisa
284,657,2004-08-23,Casa,Venta,Lleida,1589832,2005-02-28,Luisa
278,661,2004-08-23,Local,Venta,Girona,1730550,2004-12-09,María
254,662,2004-08-24,Parking,Alquiler,Girona,1963166,2005-07-27,Joaquín
252,664,2004-08-24,Local,Alquiler,Girona,2057832,2005-03-14,Luisa
163,665,2004-08-25,Local,Alquiler,Girona,1520627,2005-04-20,Pedro
195,668,2004-08-27,Parking,Venta,Barcelona,1513005,2005-01-21,Pedro
290,669,2004-08-27,Parking,Venta,Tarragona,1747830,2005-01-14,Luisa
289,670,2004-08-28,Industrial,Venta,Barcelona,2188597,2005-04-27,María
152,674,2004-08-29,Parking,Venta,Girona,1392168,2005-08-04,Pedro
47,676,2004-08-29,Casa,Venta,Girona,311563,2004-12-27,Carmen
274,682,2004-08-30,Oficina,Venta,Lleida,1577692,2005-05-11,Joaquín
247,684,2004-08-31,Parking,Venta,Tarragona,2285244,2005-03-07,María
97,685,2004-08-31,Piso,Venta,Girona,662316,2005-04-27,Carmen
64,689,2004-09-02,Parking,Venta,Girona,622144,2005-07-05,María
118,691,2004-09-02,Casa,Alquiler,Girona,827062,2005-03-22,Joaquín
269,693,2004-09-03,Suelo,Venta,Barcelona,1722407,2004-12-21,Jesús
205,695,2004-09-03,Local,Venta,Lleida,1524585,2005-05-02,Pedro
163,697,2004-09-04,Local,Alquiler,Barcelona,1570016,2005-08-04,Carmen
187,698,2004-09-05,Parking,Alquiler,Girona,789140,2005-05-16,Carmen
73,699,2004-09-05,Suelo,Alquiler,Girona,542974,2005-06-14,Luisa
299,700,2004-09-06,Local,Alquiler,Girona,1251315,2005-01-20,Luisa
225,701,2004-09-06,Casa,Venta,Girona,2023200,2004-12-27,Joaquín
295,702,2004-09-07,Piso,Alquiler,Girona,2553225,2005-01-14,Carmen
278,704,2004-09-08,Piso,Alquiler,Barcelona,2540364,2005-04-12,Carmen
258,706,2004-09-08,Piso,Alquiler,Girona,1501560,2005-01-05,Joaquín
215,707,2004-09-08,Industrial,Venta,Girona,1713120,2005-05-27,Carmen
289,711,2004-09-10,Casa,Venta,Tarragona,2114035,2004-12-14,Luisa
244,712,2004-09-10,Parking,Alquiler,Lleida,2280668,2005-07-16,María
235,714,2004-09-10,Casa,Alquiler,Lleida,2135210,2005-05-14,Pedro
206,716,2004-09-10,Oficina,Alquiler,Barcelona,1793848,2005-09-03,Luisa
161,718,2004-09-11,Suelo,Alquiler,Girona,736092,2005-02-26,María
283,719,2004-09-11,Oficina,Venta,Tarragona,1565839,2005-06-15,Pedro
226,720,2004-09-11,Casa,Venta,Tarragona,2216608,2005-07-09,Luisa
86,722,2004-09-12,Industrial,Alquiler,Girona,611546,2005-02-10,Carmen
54,723,2004-09-12,Casa,Alquiler,Girona,518508,2005-02-16,María
241,724,2004-09-12,Oficina,Alquiler,Barcelona,2085373,2005-07-07,Joaquín
112,726,2004-09-13,Parking,Venta,Girona,1081360,2005-05-03,María
195,727,2004-09-15,Suelo,Alquiler,Girona,1168440,2004-12-30,Luisa
197,729,2004-09-16,Casa,Alquiler,Lleida,1905187,2005-09-15,Pedro
284,730,2004-09-16,Parking,Alquiler,Tarragona,1830664,2005-01-02,Pedro
109,731,2004-09-16,Casa,Venta,Girona,555246,2005-04-10,Joaquín
164,733,2004-09-17,Oficina,Alquiler,Girona,1225244,2005-08-07,Jesús
250,739,2004-09-20,Piso,Venta,Barcelona,1527750,2005-02-10,Luisa
